place_name,state,population,rank
Bedburg,Nordrhein-Westfalen,25316,517
Obertshausen,Hessen,25316,518
"Zittau, Stadt, Hochschulstadt",Sachsen,25286,519
Syke,Niedersachsen,25270,520
Lüdinghausen,Nordrhein-Westfalen,25265,521
Stutensee,Baden-Württemberg,25259,522
Norden,Niedersachsen,25178,523
Wiehl,Nordrhein-Westfalen,25164,524
Helmstedt,Niedersachsen,25099,525
Rathenow,Brandenburg,25087,526
Bad Honnef,Nordrhein-Westfalen,25061,527
Waldshut-Tiengen,Baden-Württemberg,25019,528
Meiningen,Thüringen,25002,529
Calw,Baden-Württemberg,25001,530
Ellwangen (Jagst),Baden-Württemberg,25001,531
Warstein,Nordrhein-Westfalen,24988,532
Rottweil,Baden-Württemberg,24985,533
Vaterstetten,Bayern,24981,534
Weingarten,Baden-Württemberg,24940,535
Meckenheim,Nordrhein-Westfalen,24925,536
Rudolstadt,Thüringen,24852,537
Bad Oldesloe,Schleswig-Holstein,24846,538
Schmallenberg,Nordrhein-Westfalen,24711,539
Varel,Niedersachsen,24704,540
Eisenhüttenstadt,Brandenburg,24703,541
Olpe,Nordrhein-Westfalen,24695,542
Wandlitz,Brandenburg,24503,543
"Starnberg, St",Bayern,24471,544
Freudenstadt,Baden-Württemberg,24464,545
Mosbach,Baden-Württemberg,24459,546
Plettenberg,Nordrhein-Westfalen,24429,547
Haren (Ems),Niedersachsen,24365,548
Übach-Palenberg,Nordrhein-Westfalen,24277,549
Lennestadt,Nordrhein-Westfalen,24238,550
"Herzogenaurach, St",Bayern,24237,551
Sprockhövel,Nordrhein-Westfalen,24232,552
Leutkirch im Allgäu,Baden-Württemberg,24226,553
Köthen (Anhalt),Sachsen-Anhalt,24110,554
Husum,Schleswig-Holstein,24090,555
Isernhagen,Niedersachsen,24074,556
Bad Mergentheim,Baden-Württemberg,24023,557
Westerstede,Niedersachsen,23938,558
Jüchen,Nordrhein-Westfalen,23926,559
Nagold,Baden-Württemberg,23864,560
Döbeln,Sachsen,23819,561
Ronnenberg,Niedersachsen,23814,562
Alfter,Nordrhein-Westfalen,23719,563
Limbach-Oberfrohna,Sachsen,23673,564
"Senden, St",Bayern,23641,565
Attendorn,Nordrhein-Westfalen,23554,566
Neu Wulmstorf,Niedersachsen,23550,567
Kaltenkirchen,Schleswig-Holstein,23502,568
Hann. Münden,Niedersachsen,23478,569
Senftenberg/Zły Komorow,Brandenburg,23466,570
Sehnde,Niedersachsen,23431,571
"Gersthofen, St",Bayern,23427,572
Moormerland,Niedersachsen,23365,573
"Gelnhausen, Barbarossastadt, Kreisstadt",Hessen,23290,574
"Weilheim i.OB, St",Bayern,23279,575
Warburg,Nordrhein-Westfalen,23252,576
"Bad Kissingen, GKSt",Bayern,23223,577
"Staßfurt, Salzstadt",Sachsen-Anhalt,23181,578
Metzingen,Baden-Württemberg,23178,579
"Riedstadt, Büchnerstadt",Hessen,23146,580
"Quedlinburg, Welterbestadt",Sachsen-Anhalt,23139,581
Rotenburg (Wümme),Niedersachsen,23117,582
Bad Soden am Taunus,Hessen,23103,583
Vreden,Nordrhein-Westfalen,23099,584
Netphen,Nordrhein-Westfalen,23080,585
"Dillenburg, Oranienstadt",Hessen,22974,586
Salzwedel,Sachsen-Anhalt,22964,587
"Kitzingen, GKSt",Bayern,22936,588
"Neusäß, St",Bayern,22904,589
"Korbach, Hansestadt, Kreisstadt",Hessen,22901,590
Rastede,Niedersachsen,22896,591
"Haar, St",Bayern,22878,592
Wertheim,Baden-Württemberg,22874,593
Sonneberg,Thüringen,22843,594
Laupheim,Baden-Württemberg,22839,595
Ottobrunn,Bayern,22829,596
Apolda,Thüringen,22787,597
Herdecke,Nordrhein-Westfalen,22772,598
Überlingen,Baden-Württemberg,22735,599
Bad Rappenau,Baden-Württemberg,22703,600
